ID;Nom de coloc;Latitude;Longitude
1;Le Kirsch;50.8464248;4.4131723
2;Lacomblé;50.8326296;4.4091336
3;Coloc cactus;50.8472668;4.4304985
4;Road 66;50.8500764;4.3957633
5;Diams;50.8492595;4.4072618
6;Le voilier;50.8403206;4.4018607
7;Buanderie;50.8532748;4.3792088
8;Chez Foufou;50.8247243;4.3752672
9;Le 116;50.8175193;4.3554885
10;Just do eat;50.8401449;4.4031519
11;Le Grand Duc;50.8369031;4.4184440
12;André;50.8383731;4.4175329
13;Saint Michel;50.8349491;4.4128167
14;La casa sombra;50.8395631;4.4319735
15;Delporte;50.8238737;4.3831764
16;Charles Leclerc;50.8345543;4.4036712
17;Cave50;50.8441766;4.3955117
18;Le Major;50.8286699;4.4025506
19;The Fox;50.8357170;4.3717843
20;Le 66;50.8464615;4.4002916
21;RT45;50.8400600;4.4005668
22;Le Bémel;50.8324020;4.4215326
23;Kot Saisons;50.8198445;4.3863477
24;NoyerSquad;50.8445416;4.3953102
25;Les cafards;50.8489660;4.3866852
26;La Nouvellere;50.8261376;4.3854795
27;Château;50.8245526;4.3858329
28;Les Baronnes;50.8299576;4.4072573
29;Gabo Girls;50.8313184;4.3463241
30;Les Princes;50.8411758;4.4117745
31;Calvinistes;50.8509212;4.3849110
32;Team Isidore;50.8182295;4.4193299
33;Ménap House;50.8396925;4.4019104
34;Coloc des contrats;50.8474089;4.3721321
35;Les porcs;50.8200505;4.3591025
36;Le conclave;50.8275338;4.4105449
37;La Mure;50.8104948;4.3944882
38;Le Square;50.8114652;4.3885690
39;Chez momo;50.8559041;4.3922763
40;Juilletistes;50.8475133;4.4136586
41;Chien Vert 16;50.8357646;4.4272195
42;Octoberfest;50.8492401;4.4188430
43;Marie-José;50.8453016;4.4115637
44;Colocopines;50.8446574;4.4078742
45;Les (pommes) Duchesses;50.8388252;4.4088308
46;Poula;50.8300623;4.4067814
47;ADN;50.8321907;4.3822914
48;Le centenaire;50.8168940;4.3574459
49;Chaumontoise;50.8419112;4.3998863
50;Les gauloises;50.8265253;4.3708060
51;Tribunal;50.8574382;4.3876862
52;Le 94;50.8214809;4.3839427
53;La cabane;50.8515977;4.3927166
54;La Buche;50.8245593;4.4131769
55;Cabanon;50.7964937;4.4130089
56;La ruche;50.8040462;4.3888115
57;Les cowgirls;50.8042449;4.4000532
58;Le Chalet;50.8046363;4.3986567
59;Le Paddock;50.8461442;4.4020995
60;Les petits poucets;50.8383733;4.4176191
61;L’île Maurice;50.8270909;4.4084416
62;L'épave;50.8459188;4.4119022
63;Remcoloc;50.8548919;4.4042258
64;Macau Girls;50.8245372;4.3747848
65;Cokotier;50.8256467;4.4570308
66;Le Palace;50.8457463;4.4004819
67;Kottage;50.8417850;4.4201427
68;CHARGEEE;50.8169841;4.3862178
69;VDK 3.0;50.8147782;4.3669779
70;Félicita;50.8030211;4.4114740
71;🔥 WHITLOCK;50.8413224;4.4075163
72;Les petits flocons❄️;50.8204201;4.3771326
73;Les Vickettés;50.8353729;4.3965024
74;Aperhouse;50.8481953;4.4218320
75;Ambassade;50.8436704;4.4061232
76;Coloc à Thierry;50.8348156;4.4026134
77;SCAF;50.8429133;4.4182796
78;Chez Eugène;50.8512255;4.3961740
79;La cleec🫦;50.8299011;4.3720223
80;Couronne 👑;50.8427310;4.4128362
81;Le Louvre;50.8449449;4.4021373
82;La cuve;50.8273098;4.3755523
83;Boudines;50.8412754;4.4023530
84;La Roulotte;50.8387194;4.4059119
85;Le trou normand;50.8179698;4.3688462
86;El coloc 🦦;50.8292366;4.3849785
87;La niche;50.8248311;4.4166420
88;Le 50naire;50.8418578;4.3857050
89;Basscool :);50.8181347;4.3689432
90;MDB;50.8309811;4.3722517
91;Ta-ta-loc;50.8484767;4.4349977
